"Rank","Organization","Total Investors","Minimum Investment","Maximum Investment"
"1","Johnson & Johnson","14","$294020","$941000"
"2","Apple Inc","13","$867018","$2163000"
"3","Cisco Systems","11","$624022","$1662000"
"3","General Electric","11","$144018","$590000"
"3","Microsoft Corp","11","$665022","$1702000"
"3","PepsiCo Inc","11","$543012","$1347000"
"7","Pfizer Inc","10","$157016","$581000"
"7","Boeing Co","10","$193010","$597000"
"9","AT&T Inc","9","$331012","$844000"
"9","Intel Corp","9","$137010","$459000"
"9","JPMorgan Chase & Co","9","$875019","$2025000"
"9","The Walt Disney Co","9","$140013","$503000"
"13","The Procter & Gamble Co","8","$216012","$641000"
"13","QUALCOMM Inc","8","$23009","$173000"
"13","Schlumberger Limited","8","$73010","$271000"
"13","IBM Corp","8","$278010","$798000"
"13","Alphabet Inc","8","$756015","$1765000"
"18","Abbott Laboratories","7","$270007","$629000"
"18","Bank of America Corp","7","$242010","$680000"
"18","Bank of America","7","$50008","$225000"
"18","Berkshire Hathaway","7","$435010","$1029000"
"18","Chevron Corp","7","$51009","$241000"
"18","Honeywell International","7","$195012","$625000"
"18","Exxon Mobil Corp","7","$311008","$815000"
"18","United States Senate Federal Credit Union(Washingt","7","$217007","$481000"
"18","Wells Fargo & Co","7","$636010","$1441000"
"27","Verizon Communications Inc","6","$123011","$370000"
"27","Visa Inc","6","$213010","$545000"
"27","Danaher Corp","6","$138011","$471000"
"27","DowDuPont Inc","6","$633009","$1349000"
"27","3M Co","6","$196006","$515000"
"27","Amazon.com","6","$197007","$530000"
"27","Amgen Inc","6","$37009","$206000"
"27","Starbucks Corp","6","$260006","$701000"
"27","Merck & Co","6","$35007","$176000"
"27","Nike Inc","6","$219008","$560000"
"37","NextEra Energy Inc","5","$117004","$332000"
"37","Medtronic plc","5","$370008","$875000"
"37","Mondelez International","5","$183007","$495000"
"37","Altria Group","5","$367005","$832000"
"37","AbbVie Inc","5","$149008","$461000"
"37","Citigroup Inc","5","$254007","$660000"
"37","Facebook Inc","5","$261008","$666000"
"37","Emerson Electric","5","$32004","$131000"
"37","iShares MSCI EAFE ETF","5","$47005","$181000"
"37","Verizon Communications","5","$256007","$591000"
"37","V.F. Corp","5","$254005","$560000"
"37","Wal-Mart Stores Inc","5","$46004","$166000"
"49","United Technologies","4","$17003","$81000"
"49","United Technologies Corp","4","$48006","$195000"
